unit_id,spike_count,orientation,phase,spatial_frequency
951092973,226,150.0,0.25,0.02
951092437,178,60.0,0.25,0.02
951092798,107,60.0,0.25,0.02
951092940,362,60.0,0.25,0.02
951092949,291,60.0,0.25,0.02
951092973,287,60.0,0.25,0.02
951092437,124,90.0,0.5,0.32
951092798,136,90.0,0.5,0.32
951092940,323,90.0,0.5,0.32
951092949,303,90.0,0.5,0.32
951092973,215,90.0,0.5,0.32
951092437,200,150.0,0.75,0.04
951092798,85,150.0,0.75,0.04
951092940,289,150.0,0.75,0.04
951092949,294,150.0,0.75,0.04
951092973,252,150.0,0.75,0.04
951092437,248,150.0,0.75,0.08
951092798,126,150.0,0.75,0.08
951092940,343,150.0,0.75,0.08
951092949,294,150.0,0.75,0.08
951092973,321,150.0,0.75,0.08
951092437,137,120.0,0.5,0.32
951092798,126,120.0,0.5,0.32
951092940,298,120.0,0.5,0.32
951092949,277,120.0,0.5,0.32
951092973,191,120.0,0.5,0.32
951092437,184,120.0,0.0,0.04
951092798,178,120.0,0.0,0.04
951092940,327,120.0,0.0,0.04
951092949,357,120.0,0.0,0.04
951092973,254,120.0,0.0,0.04
951092437,368,30.0,0.75,0.08
951092798,113,30.0,0.75,0.08
951092940,363,30.0,0.75,0.08
951092949,263,30.0,0.75,0.08
951092973,418,30.0,0.75,0.08
951092437,137,60.0,0.75,0.32
951092798,121,60.0,0.75,0.32
951092940,310,60.0,0.75,0.32
951092949,265,60.0,0.75,0.32
951092973,222,60.0,0.75,0.32
951092437,161,90.0,0.25,0.32
951092798,127,90.0,0.25,0.32
951092940,366,90.0,0.25,0.32
951092949,288,90.0,0.25,0.32
951092973,226,90.0,0.25,0.32
951092437,156,120.0,0.0,0.16
951092798,165,120.0,0.0,0.16
951092940,347,120.0,0.0,0.16
951092949,281,120.0,0.0,0.16
951092973,235,120.0,0.0,0.16
951092437,174,90.0,0.25,0.08
951092798,350,90.0,0.25,0.08
951092940,349,90.0,0.25,0.08
951092949,377,90.0,0.25,0.08
951092973,389,90.0,0.25,0.08
951092437,555,null,null,null
951092798,387,null,null,null
951092940,1246,null,null,null
951092949,1114,null,null,null
951092973,769,null,null,null
951092437,118,150.0,0.0,0.02
951092798,35,150.0,0.0,0.02
951092940,332,150.0,0.0,0.02
951092949,303,150.0,0.0,0.02
951092973,238,150.0,0.0,0.02
951092437,203,150.0,0.0,0.04
951092798,84,150.0,0.0,0.04
951092940,283,150.0,0.0,0.04
951092949,287,150.0,0.0,0.04
951092973,286,150.0,0.0,0.04
951092437,163,150.0,0.75,0.32
951092798,86,150.0,0.75,0.32
951092940,315,150.0,0.75,0.32
951092949,246,150.0,0.75,0.32
951092973,219,150.0,0.75,0.32
951092437,152,120.0,0.5,0.16
951092798,162,120.0,0.5,0.16
951092940,345,120.0,0.5,0.16
951092949,281,120.0,0.5,0.16
951092973,241,120.0,0.5,0.16
951092437,251,30.0,0.5,0.04
951092798,77,30.0,0.5,0.04
951092940,316,30.0,0.5,0.04
951092949,252,30.0,0.5,0.04
951092973,280,30.0,0.5,0.04
951092437,209,60.0,0.75,0.08
951092798,181,60.0,0.75,0.08
951092940,325,60.0,0.75,0.08
951092949,294,60.0,0.75,0.08
951092973,318,60.0,0.75,0.08
951092437,148,120.0,0.0,0.02
951092798,105,120.0,0.0,0.02
951092940,423,120.0,0.0,0.02
951092949,344,120.0,0.0,0.02
951092973,228,120.0,0.0,0.02
951092437,123,120.0,0.25,0.02
951092798,91,120.0,0.25,0.02
951092940,279,120.0,0.25,0.02
951092949,329,120.0,0.25,0.02
951092973,253,120.0,0.25,0.02
951092437,165,90.0,0.0,0.08
951092798,347,90.0,0.0,0.08
951092940,351,90.0,0.0,0.08
951092949,370,90.0,0.0,0.08
951092973,372,90.0,0.0,0.08
951092437,166,60.0,0.75,0.16
951092798,148,60.0,0.75,0.16
951092940,346,60.0,0.75,0.16
951092949,260,60.0,0.75,0.16
951092973,301,60.0,0.75,0.16
951092437,132,30.0,0.0,0.32
951092798,111,30.0,0.0,0.32
951092940,334,30.0,0.0,0.32
951092949,250,30.0,0.0,0.32
951092973,235,30.0,0.0,0.32
951092437,157,120.0,0.0,0.08
951092798,187,120.0,0.0,0.08
951092940,315,120.0,0.0,0.08
951092949,301,120.0,0.0,0.08
951092973,247,120.0,0.0,0.08
951092437,197,150.0,0.0,0.16
951092798,106,150.0,0.0,0.16
951092940,358,150.0,0.0,0.16
951092949,265,150.0,0.0,0.16
951092973,346,150.0,0.0,0.16
951092437,369,0.0,0.75,0.08
951092798,141,0.0,0.75,0.08
951092940,384,0.0,0.75,0.08
951092949,280,0.0,0.75,0.08
951092973,454,0.0,0.75,0.08
951092437,185,150.0,0.5,0.04
951092798,77,150.0,0.5,0.04
951092940,283,150.0,0.5,0.04
951092949,272,150.0,0.5,0.04
951092973,265,150.0,0.5,0.04
951092437,372,0.0,0.25,0.08
951092798,168,0.0,0.25,0.08
951092940,423,0.0,0.25,0.08
951092949,287,0.0,0.25,0.08
951092973,508,0.0,0.25,0.08
951092437,301,0.0,0.5,0.04
951092798,115,0.0,0.5,0.04
951092940,339,0.0,0.5,0.04
951092949,296,0.0,0.5,0.04
951092973,356,0.0,0.5,0.04
951092437,142,90.0,0.75,0.02
951092798,223,90.0,0.75,0.02
