unit_id,spike_count,orientation,phase,spatial_frequency
951093928,243,0.0,0.5,0.32
951098242,138,0.0,0.5,0.32
951092940,328,30.0,0.75,0.32
951093080,378,30.0,0.75,0.32
951093283,265,30.0,0.75,0.32
951093608,170,30.0,0.75,0.32
951093928,189,30.0,0.75,0.32
951098242,103,30.0,0.75,0.32
951092940,358,150.0,0.25,0.08
951093080,338,150.0,0.25,0.08
951093283,459,150.0,0.25,0.08
951093608,138,150.0,0.25,0.08
951093928,161,150.0,0.25,0.08
951098242,364,150.0,0.25,0.08
951092940,350,0.0,0.75,0.16
951093080,334,0.0,0.75,0.16
951093283,410,0.0,0.75,0.16
951093608,98,0.0,0.75,0.16
951093928,233,0.0,0.75,0.16
951098242,267,0.0,0.75,0.16
951092940,271,150.0,0.25,0.04
951093080,358,150.0,0.25,0.04
951093283,256,150.0,0.25,0.04
951093608,236,150.0,0.25,0.04
951093928,57,150.0,0.25,0.04
951098242,98,150.0,0.25,0.04
951092940,311,150.0,0.25,0.02
951093080,363,150.0,0.25,0.02
951093283,214,150.0,0.25,0.02
951093608,212,150.0,0.25,0.02
951093928,33,150.0,0.25,0.02
951098242,38,150.0,0.25,0.02
951092940,362,60.0,0.25,0.02
951093080,417,60.0,0.25,0.02
951093283,294,60.0,0.25,0.02
951093608,151,60.0,0.25,0.02
951093928,25,60.0,0.25,0.02
951098242,26,60.0,0.25,0.02
951092940,323,90.0,0.5,0.32
951093080,426,90.0,0.5,0.32
951093283,213,90.0,0.5,0.32
951093608,154,90.0,0.5,0.32
951093928,89,90.0,0.5,0.32
951098242,39,90.0,0.5,0.32
951092940,289,150.0,0.75,0.04
951093080,391,150.0,0.75,0.04
951093283,318,150.0,0.75,0.04
951093608,250,150.0,0.75,0.04
951093928,74,150.0,0.75,0.04
951098242,140,150.0,0.75,0.04
951092940,343,150.0,0.75,0.08
951093080,325,150.0,0.75,0.08
951093283,404,150.0,0.75,0.08
951093608,148,150.0,0.75,0.08
951093928,132,150.0,0.75,0.08
951098242,329,150.0,0.75,0.08
951092940,298,120.0,0.5,0.32
951093080,409,120.0,0.5,0.32
951093283,276,120.0,0.5,0.32
951093608,236,120.0,0.5,0.32
951093928,130,120.0,0.5,0.32
951098242,51,120.0,0.5,0.32
951092940,327,120.0,0.0,0.04
951093080,396,120.0,0.0,0.04
951093283,239,120.0,0.0,0.04
951093608,260,120.0,0.0,0.04
951093928,28,120.0,0.0,0.04
951098242,33,120.0,0.0,0.04
951092940,363,30.0,0.75,0.08
951093080,328,30.0,0.75,0.08
951093283,376,30.0,0.75,0.08
951093608,139,30.0,0.75,0.08
951093928,253,30.0,0.75,0.08
951098242,245,30.0,0.75,0.08
951092940,310,60.0,0.75,0.32
951093080,382,60.0,0.75,0.32
951093283,242,60.0,0.75,0.32
951093608,148,60.0,0.75,0.32
951093928,157,60.0,0.75,0.32
951098242,63,60.0,0.75,0.32
951092940,366,90.0,0.25,0.32
951093080,390,90.0,0.25,0.32
951093283,247,90.0,0.25,0.32
951093608,192,90.0,0.25,0.32
951093928,113,90.0,0.25,0.32
951098242,62,90.0,0.25,0.32
951092940,347,120.0,0.0,0.16
951093080,390,120.0,0.0,0.16
951093283,290,120.0,0.0,0.16
951093608,106,120.0,0.0,0.16
951093928,69,120.0,0.0,0.16
951098242,94,120.0,0.0,0.16
951092940,349,90.0,0.25,0.08
951093080,463,90.0,0.25,0.08
951093283,257,90.0,0.25,0.08
951093608,142,90.0,0.25,0.08
951093928,42,90.0,0.25,0.08
951098242,47,90.0,0.25,0.08
951092940,1246,null,null,null
951093080,1571,null,null,null
951093283,848,null,null,null
951093608,778,null,null,null
951093928,175,null,null,null
951098242,191,null,null,null
951092940,332,150.0,0.0,0.02
951093080,392,150.0,0.0,0.02
951093283,278,150.0,0.0,0.02
951093608,350,150.0,0.0,0.02
951093928,17,150.0,0.0,0.02
951098242,40,150.0,0.0,0.02
951092940,283,150.0,0.0,0.04
951093080,351,150.0,0.0,0.04
951093283,257,150.0,0.0,0.04
951093608,224,150.0,0.0,0.04
951093928,64,150.0,0.0,0.04
951098242,107,150.0,0.0,0.04
951092940,315,150.0,0.75,0.32
951093080,385,150.0,0.75,0.32
951093283,253,150.0,0.75,0.32
951093608,158,150.0,0.75,0.32
951093928,172,150.0,0.75,0.32
951098242,106,150.0,0.75,0.32
951092940,345,120.0,0.5,0.16
951093080,366,120.0,0.5,0.16
951093283,254,120.0,0.5,0.16
951093608,113,120.0,0.5,0.16
951093928,39,120.0,0.5,0.16
951098242,71,120.0,0.5,0.16
951092940,316,30.0,0.5,0.04
951093080,344,30.0,0.5,0.04
951093283,331,30.0,0.5,0.04
951093608,112,30.0,0.5,0.04
951093928,148,30.0,0.5,0.04
951098242,124,30.0,0.5,0.04
951092940,325,60.0,0.75,0.08
951093080,334,60.0,0.75,0.08
951093283,349,60.0,0.75,0.08
951093608,149,60.0,0.75,0.08
951093928,71,60.0,0.75,0.08
951098242,65,60.0,0.75,0.08
951092940,423,120.0,0.0,0.02
951093080,386,120.0,0.0,0.02
951093283,237,120.0,0.0,0.02
951093608,401,120.0,0.0,0.02
951093928,19,120.0,0.0,0.02
951098242,29,120.0,0.0,0.02
951092940,279,120.0,0.25,0.02
951093080,350,120.0,0.25,0.02
951093283,215,120.0,0.25,0.02
951093608,298,120.0,0.25,0.02
951093928,35,120.0,0.25,0.02
951098242,25,120.0,0.25,0.02
951092940,351,90.0,0.0,0.08
951093080,406,90.0,0.0,0.08
951093283,238,90.0,0.0,0.08
951093608,162,90.0,0.0,0.08
951093928,36,90.0,0.0,0.08
951098242,30,90.0,0.0,0.08
951092940,346,60.0,0.75,0.16
951093080,359,60.0,0.75,0.16
951093283,291,60.0,0.75,0.16
951093608,138,60.0,0.75,0.16
951093928,105,60.0,0.75,0.16
951098242,103,60.0,0.75,0.16
951092940,334,30.0,0.0,0.32
951093080,373,30.0,0.0,0.32
951093283,269,30.0,0.0,0.32
951093608,170,30.0,0.0,0.32
951093928,182,30.0,0.0,0.32
951098242,104,30.0,0.0,0.32
951092940,315,120.0,0.0,0.08
951093080,417,120.0,0.0,0.08
951093283,244,120.0,0.0,0.08
951093608,222,120.0,0.0,0.08
951093928,23,120.0,0.0,0.08
951098242,57,120.0,0.0,0.08
951092940,358,150.0,0.0,0.16
951093080,407,150.0,0.0,0.16
951093283,417,150.0,0.0,0.16
951093608,97,150.0,0.0,0.16
951093928,170,150.0,0.0,0.16
951098242,254,150.0,0.0,0.16
951092940,384,0.0,0.75,0.08
951093080,318,0.0,0.75,0.08
951093283,443,0.0,0.75,0.08
951093608,108,0.0,0.75,0.08
951093928,278,0.0,0.75,0.08
951098242,364,0.0,0.75,0.08
951092940,283,150.0,0.5,0.04
951093080,344,150.0,0.5,0.04
951093283,298,150.0,0.5,0.04
951093608,216,150.0,0.5,0.04
951093928,42,150.0,0.5,0.04
951098242,115,150.0,0.5,0.04
951092940,423,0.0,0.25,0.08
951093080,316,0.0,0.25,0.08
951093283,480,0.0,0.25,0.08
951093608,83,0.0,0.25,0.08
951093928,298,0.0,0.25,0.08
951098242,356,0.0,0.25,0.08
951092940,339,0.0,0.5,0.04
951093080,387,0.0,0.5,0.04
951093283,371,0.0,0.5,0.04
951093608,88,0.0,0.5,0.04
951093928,218,0.0,0.5,0.04
951098242,234,0.0,0.5,0.04
951092940,339,90.0,0.75,0.02
951093080,429,90.0,0.75,0.02
951093283,258,90.0,0.75,0.02
951093608,185,90.0,0.75,0.02
951093928,29,90.0,0.75,0.02
951098242,30,90.0,0.75,0.02
951092940,301,90.0,0.5,0.16
951093080,405,90.0,0.5,0.16
951093283,232,90.0,0.5,0.16
951093608,161,90.0,0.5,0.16
951093928,40,90.0,0.5,0.16
951098242,52,90.0,0.5,0.16
951092940,298,60.0,0.5,0.04
951093080,330,60.0,0.5,0.04
951093283,328,60.0,0.5,0.04
951093608,123,60.0,0.5,0.04
951093928,48,60.0,0.5,0.04
951098242,45,60.0,0.5,0.04
951092940,372,60.0,0.0,0.02
951093080,335,60.0,0.0,0.02
951093283,319,60.0,0.0,0.02
951093608,159,60.0,0.0,0.02
951093928,29,60.0,0.0,0.02
951098242,25,60.0,0.0,0.02
951092940,357,90.0,0.25,0.04
951093080,368,90.0,0.25,0.04
951093283,276,90.0,0.25,0.04
951093608,96,90.0,0.25,0.04
951093928,44,90.0,0.25,0.04
951098242,35,90.0,0.25,0.04
951092940,353,150.0,0.5,0.16
951093080,367,150.0,0.5,0.16
951093283,384,150.0,0.5,0.16
951093608,128,150.0,0.5,0.16
951093928,154,150.0,0.5,0.16
951098242,264,150.0,0.5,0.16
951092940,356,150.0,0.0,0.32
951093080,389,150.0,0.0,0.32
951093283,247,150.0,0.0,0.32
951093608,180,150.0,0.0,0.32
951093928,165,150.0,0.0,0.32
951098242,87,150.0,0.0,0.32
951092940,322,30.0,0.0,0.04
951093080,353,30.0,0.0,0.04
951093283,384,30.0,0.0,0.04
951093608,113,30.0,0.0,0.04
951093928,138,30.0,0.0,0.04
951098242,149,30.0,0.0,0.04
951092940,360,120.0,0.75,0.16
951093080,350,120.0,0.75,0.16
951093283,280,120.0,0.75,0.16
951093608,118,120.0,0.75,0.16
951093928,57,120.0,0.75,0.16
951098242,72,120.0,0.75,0.16
951092940,381,150.0,0.75,0.16
951093080,347,150.0,0.75,0.16
951093283,398,150.0,0.75,0.16
951093608,92,150.0,0.75,0.16
951093928,181,150.0,0.75,0.16
951098242,223,150.0,0.75,0.16
951092940,333,30.0,0.75,0.02
951093080,368,30.0,0.75,0.02
951093283,298,30.0,0.75,0.02
951093608,208,30.0,0.75,0.02
951093928,28,30.0,0.75,0.02
951098242,37,30.0,0.75,0.02
951092940,371,30.0,0.0,0.08
951093080,355,30.0,0.0,0.08
951093283,420,30.0,0.0,0.08
951093608,117,30.0,0.0,0.08
951093928,279,30.0,0.0,0.08
951098242,241,30.0,0.0,0.08
951092940,357,30.0,0.5,0.16
951093080,336,30.0,0.5,0.16
951093283,378,30.0,0.5,0.16
951093608,98,30.0,0.5,0.16
951093928,243,30.0,0.5,0.16
951098242,200,30.0,0.5,0.16
951092940,354,60.0,0.5,0.02
951093080,407,60.0,0.5,0.02
951093283,331,60.0,0.5,0.02
951093608,168,60.0,0.5,0.02
951093928,35,60.0,0.5,0.02
951098242,37,60.0,0.5,0.02
951092940,297,90.0,0.75,0.04
951093080,323,90.0,0.75,0.04
951093283,217,90.0,0.75,0.04
951093608,99,90.0,0.75,0.04
951093928,26,90.0,0.75,0.04
951098242,28,90.0,0.75,0.04
951092940,390,30.0,0.0,0.16
951093080,346,30.0,0.0,0.16
951093283,356,30.0,0.0,0.16
951093608,98,30.0,0.0,0.16
951093928,225,30.0,0.0,0.16
951098242,227,30.0,0.0,0.16
951092940,339,150.0,0.25,0.16
951093080,347,150.0,0.25,0.16
951093283,393,150.0,0.25,0.16
951093608,99,150.0,0.25,0.16
951093928,175,150.0,0.25,0.16
951098242,262,150.0,0.25,0.16
951092940,297,150.0,0.0,0.08
951093080,290,150.0,0.0,0.08
951093283,396,150.0,0.0,0.08
951093608,155,150.0,0.0,0.08
951093928,127,150.0,0.0,0.08
951098242,323,150.0,0.0,0.08
951092940,319,120.0,0.25,0.32
951093080,401,120.0,0.25,0.32
951093283,253,120.0,0.25,0.32
951093608,154,120.0,0.25,0.32
951093928,142,120.0,0.25,0.32
951098242,65,120.0,0.25,0.32
951092940,358,60.0,0.25,0.16
951093080,364,60.0,0.25,0.16
951093283,288,60.0,0.25,0.16
951093608,142,60.0,0.25,0.16
951093928,75,60.0,0.25,0.16
951098242,94,60.0,0.25,0.16
951092940,298,30.0,0.0,0.02
951093080,362,30.0,0.0,0.02
951093283,265,30.0,0.0,0.02
951093608,189,30.0,0.0,0.02
951093928,22,30.0,0.0,0.02
951098242,30,30.0,0.0,0.02
951092940,347,30.0,0.75,0.16
951093080,322,30.0,0.75,0.16
951093283,372,30.0,0.75,0.16
951093608,130,30.0,0.75,0.16
951093928,194,30.0,0.75,0.16
951098242,216,30.0,0.75,0.16
951092940,300,60.0,0.0,0.04
951093080,318,60.0,0.0,0.04
951093283,322,60.0,0.0,0.04
951093608,87,60.0,0.0,0.04
951093928,26,60.0,0.0,0.04
951098242,43,60.0,0.0,0.04
951092940,349,0.0,0.5,0.08
951093080,274,0.0,0.5,0.08
951093283,385,0.0,0.5,0.08
951093608,82,0.0,0.5,0.08
951093928,237,0.0,0.5,0.08
951098242,324,0.0,0.5,0.08
951092940,361,60.0,0.0,0.16
951093080,336,60.0,0.0,0.16
951093283,282,60.0,0.0,0.16
951093608,108,60.0,0.0,0.16
